# Resampled Flux, Resampled Flux Uncertainty, Resampled Sky Flux, Sensitivity Curve
2.405395827634369242e-14,1.515524569120340635e-12,8.899186543808139723e-11,3.899152160510410642e-13
1.178160436159971169e-14,1.330809502207778149e-12,7.818016356022044411e-11,3.425314618396454113e-13
1.134233650936641006e-14,1.159255755621233101e-12,6.811272174778679466e-11,2.982952746332908011e-13
6.215263151055963063e-15,1.015499059608723585e-12,5.968231098000127104e-11,2.613460819608107819e-13
7.745454244905930399e-15,8.876580283573399574e-13,5.216766134731070805e-11,2.283800176489514108e-13
5.180924356165689296e-15,7.739464873223610863e-13,4.548765855127055915e-11,1.991615693777781119e-13
3.284695955831131077e-15,6.738148027760067031e-13,3.960594616234006161e-11,1.734189421215896010e-13
9.332129174785683803e-14,5.914607832219681192e-13,3.443850537907751594e-11,1.508601770614344300e-13
8.838954931626376705e-14,5.147132414455771906e-13,2.994149152250873511e-11,1.311862602490360280e-13
5.736923653771165610e-15,4.435022201954466205e-13,2.605273009581499506e-11,1.141013929505555958e-13
3.876181559015217129e-15,3.860241467965393398e-13,2.268243848189445585e-11,9.932068549655761879e-14
5.445549961952412906e-15,3.365995139345046264e-13,1.977002553507118989e-11,8.657559367558984477e-14
6.457895305898237590e-15,2.940572614156278072e-13,1.726292240438475911e-11,7.561744431245133631e-14
6.094538924619575007e-15,2.575086223172891846e-13,1.511392851253876839e-11,6.621939927566738827e-14
3.529891854018810384e-15,2.260988959588723141e-13,1.327553860247609387e-11,5.817719032723472436e-14
3.747848256418124174e-16,1.980383729227345364e-13,1.164454876521796018e-11,5.096896049660862122e-14
1.719297151035787358e-16,1.753286887230290920e-13,1.030932634871199736e-11,4.512835333755822537e-14
3.710673089177542043e-16,1.564668126332179490e-13,9.200478333030066058e-12,4.026603253681721090e-14
3.155437318686597911e-16,1.403301676556134078e-13,8.248473314362370679e-12,3.612734247394207698e-14
1.646552776088499856e-15,1.267724805978689022e-13,7.447077415587619587e-12,3.261421994623559844e-14
1.351205040606068448e-15,1.152109071267109183e-13,6.768282714366688820e-12,2.964280327137133904e-14
8.904178974890144857e-16,1.054824396439929030e-13,6.198761680778673552e-12,2.714195710707897537e-14
1.080108435644686910e-15,9.737950442546605665e-14,5.722006525612873569e-12,2.505151076091026714e-14
9.968586709087240145e-16,9.061474877244544997e-14,5.323819692649903759e-12,2.331439189550823728e-14
5.580132994789038940e-16,8.499005897892126561e-14,4.994541309695254495e-12,2.187359854395941728e-14
7.821260953131682771e-16,8.036336207978622340e-14,4.722021725092510027e-12,2.067756954462095997e-14
1.338877832311349999e-15,7.653482804116939321e-14,4.494612054059757555e-12,1.968477912366115919e-14
6.682096410172668348e-16,7.329187313232680335e-14,4.306058080324680379e-12,1.886166571923150537e-14
9.164533504806802839e-16,7.066839956304652517e-14,4.151303988583348282e-12,1.818080814128197237e-14
1.239728782383663876e-15,6.850491980914931224e-14,4.022745963231263296e-12,1.761952578757048841e-14
9.285002175182364534e-16,6.667128649510265067e-14,3.915368063263388144e-12,1.715548381205423813e-14
1.431074775337181366e-15,6.520034281121903211e-14,3.828442285522731274e-12,1.676313001940933004e-14
1.301650129368679682e-15,6.403020806303222665e-14,3.760198984938705404e-12,1.646318285839180104e-14
7.854708165942138083e-16,6.302684955509882916e-14,3.702538871232795177e-12,1.621518775295827210e-14
7.704776520020573663e-16,6.221442334169395210e-14,3.654776605244209932e-12,1.600666518580906473e-14
1.400270303757206557e-15,6.154880279328322298e-14,3.613282088275027967e-12,1.582596578102588308e-14
8.586919656963420138e-16,6.088141152271399697e-14,3.576058859509949043e-12,1.566205898829215689e-14
2.191715883495199009e-16,6.025257734315295897e-14,3.542710524284558904e-12,1.550439644889625965e-14
6.413784241617366498e-16,5.963493504958836012e-14,3.503951030215610057e-12,1.534284420550996927e-14
1.110355405857947174e-15,5.896828933349615944e-14,3.462200717179715687e-12,1.516767932187609869e-14
1.177348778497080854e-15,5.821317304599647439e-14,3.418182654727102735e-12,1.496964687682981608e-14
9.412653592016448148e-16,5.731999921158261345e-14,3.367289292825182671e-12,1.474007272335644698e-14
8.151690876632512713e-16,5.627152799909350955e-14,3.306347777217292236e-12,1.447102593302369155e-14
1.359071328801933840e-15,5.506244261097616936e-14,3.232346743993867216e-12,1.415552259260323117e-14
1.333802175050463533e-15,5.362762369602814493e-14,3.147789114572525008e-12,1.378775975646730246e-14
1.457144918367144454e-15,5.198593317184721530e-14,3.050764554285128807e-12,1.336336513654074330e-14
1.123854232578070938e-15,5.009411046882050555e-14,2.941147572541020702e-12,1.287965179678357331e-14
1.303691346799366524e-15,4.799173363867464059e-14,2.816713585357172540e-12,1.233655097161267336e-14
9.791018852560923828e-16,4.567227179878780852e-14,2.681854853732152389e-12,1.174280947106171024e-14
9.525029734442117303e-16,4.319821614421334158e-14,2.535845152046384222e-12,1.110908008290450484e-14
1.101965171773613248e-15,4.070455140474126908e-14,2.389257114553005946e-12,1.046223610858782863e-14
9.037444346850279159e-16,3.833405400004184260e-14,2.251499319420309989e-12,9.851058891684936468e-15
1.023834968048679390e-15,3.607079990600111334e-14,2.117503056332030388e-12,9.268702785999630742e-15
